x,y
"Ron Hall pulls a triple threat as he writes, directs and stars in 'Vampire Assassins'. Derek Washington (Hall) is your clichéd cop-on-a-mission who finds himself up to his neck in some nasty vampire action. Tossing away his badge he searches for the last vampire slayer (no not Buffy!) to take back the streets and vanquish the bloodsuckers back to the grave.<br /><br />'Vampire Assassins' is a horrible film. It rips off so many other films (can you say Blade?) that it never even attempts to establish it's own identity. The script is non existent. The action is horrible. Who says a micro-budget stimulates creativity? There is nothing even remotely interesting here. You will get nothing out of this except a headache. Stay away at all costs.",negative
"The first in the series was brilliant, easily one of the best Horror films of all time. This is the crappiest. When I sat down to watch this, I was actually thinking that how bad the fourth and fifth ones were, this would have to be good after the previous terrible ones. Boy was I wrong. Incredibly wrong.<br /><br />When I watched the first ten minutes of it, I was actually really tempted to turn it off, but I thought no, maybe it'll improve. It didn't.<br /><br />Not only is this just a dire film by itself, it didn't need another sequel, because the last two (fourth and fifth) had already been terrible enough! Also, how many times can you bring Freddy back!? The acting in it was TERRIBLE, the story-line was predictable and crap and it also had flaws in it as well. The way they made Springwood was just totally wrong. Pays no respect to the first one at-all. To add to this, the whole thing seemed really over-the-top.<br /><br />Some people are saying that this film was ""funny"". This film is not ""funny"" at all. Since when is Freddy Krueger supposed to be ""funny""? I would call it funnily crap. This film is supposed to be a Horror film, not a comedy. If Freddy had a daughter, wouldn't that information have surfaced like in the first one!? The ending was also just plain stupid and cheesy, exactly like the rest of it. This one completely destroys the essence and uniqueness of the first one. Just shows itself up.<br /><br />Such a shame that Wes Craven created something so good in the beginning, yet it has to be dragged down because of this trash that belongs in the bin. They shouldn't have even bothered making this film. Nor any of the other sequels, except the third one. The third one's the only decent one out of all the sequels.<br /><br />If this was a DVD by itself and not part of the Nightmare On Elm Street DVD set that I got, I would have chucked it out when I got it.<br /><br />Summary: A pathetic and poor attempt at a sequel.<br /><br />- a complete MOCKERY of the first film <br /><br />So please, don't waste your time on this worthless junk.",negative
"I LOVED this movie because Bobbie Phillips can REALLY FIGHT! I always hate when actors are not believable in action parts. It was great to see, no offense, but a WOMAN who can skillfully perform martial arts and fighting. If you compare this with most action movies with females you will DEFINITELY see what I mean. They don't have to cut up the shots with someone that can fight and it flows better. I was VERY impressed. I hope there's more!",positive
"I was @ 13 yrs of age when I saw this greatly underappreciated film at The ADAMS theatre in Newark, NJ, I purchased the Program, and later bought the soundtrack... still have both.... I am now 55 + yrs.. and have not seen it since (possibly once on network TV, in 1960's???) One of the greatest casts ever assembled, great score and production , please let another generation see this great film... It was my introduction to opera, and aided with my understanding of Tolerance.. Please family of Gerswhins or Premingers, release this classic soon !!",positive
"The Coen Brothers have truly outdone themselves in this wonderful saga of three escaped convicts. Though it is based on ""The Odyssey,"" the ancient work of Homer, you do not have to have read ""The Odyssey"" to be able to follow the story. The brothers Coen have woven a tapestry of celluloid and aural delights! The soundtrack is intrinsic to the film, indeed it is as though the soundtrack is the product and the film is wrapping paper. Each character is wonderfully exploited and harkens back to the days of old when films were rich with character actors whose very appearance in the film adds richness, texture and authenticity. George Clooney is magnificent as the grease haired Everett Ulysses McGill, a honest con on the run whose pompous linguistics and vocabulary are comical and endearing. O Brother, Where Art Thou is easily the best Coen film to date as well as Clooney's best effort. Clooney is good enough to warrant a best actor nomination as is Tim Blake Nelson's portrayal of the dimwitted friend Delmar, while the film itself is deserving of a Best film nod.",positive
"Ok, I'm normally pretty open minded about movies. I can normally see a good side to a film which has been totally pandered by others. This is an exception.<br /><br />I won't waste to much energy telling you what happens, but think along the lines of Bill and Ted meets the worst Police Academy movie out of all of them and you won't be far off.<br /><br />The thing that really got me about this film was the stupid purile racism that was evident throughout. The general theme of latino/black guys = cool, white guys = lame is slightly amusing for the first couple of jokes but when the same joke has been reiterated for the 500th time (not an exageration by the way) it gets both tiresome and offensive.<br /><br />I spent months waiting for the laws of Karma to get back at John Leguizamo for this film. I had almost given up hope when the 'My VH1 Awards' were screened live in the UK. What followed was Mr Leguizamo performing the rare feat of a comedian bombing on stage. You'd have to be a complete sadist to laugh at him. Ahem. Ha! Ha! Ha!",negative
"Hollywood movie industry is the laziest one in the entire world. It only needs a single hit to flood theaters with the same old crap re-invented over and over again. Take superheroes for example, for each X-Man and Spiderman, there are Daredevil, Elektra, Ghost Rider and Hulk. Japanese horror remakes are even worst. It only took The Ring, which was pitch-perfect (mostly because of Mr. Gore Verbinsky), to bring a ton of look-alike creepy-woman based horrors, e.g. The Ring 2, The Eye, Dark Water (which was fine, but pointless), and the grudges.<br /><br />The first Grudge wasn't entirely bad. It was scary most of the way, which is what one could expect from it. Plus, the plot had some brains mixing narratives. Grudge 2 is exactly like the previous; this could be a good thing, but hey, what boy Men in Black II? Was it a nice thing to xerox the entire screenplay and just change the villain? For the Grudge 2, the critic goes the same way.<br /><br />Tired scares, bad acting (except for Amber Tamblyn), and clichés all over the place. Three stories take place, on different places and time. There is Aubrey (Tamblyn) investigating what drove her sister Karen (Sarah Michelle Gellar) to death; Allison (Arielle Kebbel) who is taken by colleagues to visit the house where the incident depicted in the first movie took place; and finally, an American family that witness strange stuff happening on the apartment next door. Glad to say (and I mean it) that everything is tied up at the end, but one must not rely on the end to make a good picture, when everything else is simply tiresome and dull.<br /><br />The chills are all over there, a girl alone in the lockers, someone who shouldn't enter a house, others that dig too deep. Meanwhile, ghosts keep killing and killing and killing, which seems even more deadlier than ten world wars or the Ebola epidemic. Hey, doesn't that seem just like another bad Japanese remake, something called Pulse? Yeah, day after day it's getting easier to hold a grudge... against Hollywood bullshits.",negative
"When in 1982, ""The Thing"" came out to theaters everywhere, it had a cold reception and very poor box-office results, becoming almost a failure in John Carpenter's career as a horror director; however, time has proved that ""The Thing"" was definitely not a failed project and that the disappointing commercial results were not the film's fault. Nowadays, John Carpenter's ""The Thing"" has gained the appreciation it rightfully deserves and is considered by many horror fans as a horror classic, and not without a reason, as this new version of John W. Campbell, Jr.'s story ""Who Goes There?"" (previously adapted as ""The Thing From Another World"") is closer to the original tale and keeps a pessimistic feeling of dread and high doses of suspense in a masterfully crafted study about paranoia.<br /><br />The plot of ""The Thing"", begins in the winter of 1982 in a U.S. research station located in the remote territories of Antarctica, when the members of the crew notice a Norwegian helicopter coming their way. The two apparently insane pilots of the helicopter are trying to kill a Husky dog who makes its way into the American base. After the Norwegians are killed accidentally, the Americans try to figure out what made them to be insane. Soon they'll discover that the Husky dog the Norwegians were hunting was not a normal dog, but a creature able to mimic every living creature, and not only that, it has a tremendous hunger.<br /><br />Director John Carpenter earned a place in history when in 1978 he directed the seminal slasher ""Halloween"", where suspense and atmosphere were above gore and shock. ""The Thing"" could be seen as an evolution of that style, as even when Carpenter makes great use of Rob Bottin's special effects (which were labeled by critics as ""repulsive"" on its day), the film still focuses more on atmosphere and suspense rather than in the violent (and very well-done) displays of gore. The feeling of loneliness, as well as the ""bad karma"" between the members of the crew increase the feeling of paranoia as anyone could be the Thing, even our main character, R. J. MacReady (Kurt Russell), ending in a situation where nobody can be trusted.<br /><br />This plot element was more faithful to the concept of the source novel, and was blatantly ignored by the previous version (not completely a bad thing, just a big difference), making this version feel less like a remake and more as a new conception of the source novel. Bill Lancaster's script handles the characters with brilliant domain, giving us enough to distinguish them, but not too much to completely trust them, making them an essential factor in the film's haunting feeling of dread that keeps running through the movie. The mystery and the suspense are at the max, as never one can tell who is the Thing and who is normal, enhancing the paranoia and unpredictability of the plot with excellent results.<br /><br />The cast is very effective, and their performances as a whole so effective that one can almost feel the bad feelings between their characters as real. Carpenter's regular collaborator Kurt Russell as MacReady carries the film, and through his eyes we witness the madness and the horror the research station becomes as the situations goes worse. Definitely one of his best performances. Wilford Brimley is also terrific as Dr. Blair, a scientist that goes insane after discovering the Thing's purposes.<br /><br />""The Thing"" is a film so wonderfully crafted that its flaws tend to go unnoticed, although they exist. The most notorious being the very low-key and at times unappropriated score by Ennio Morricone. It's not exactly bad, but it just feels out of place at some scenes and it's not one of the best works by the legendary composer. Also, due to some misshapes with the special effects, some scenes were left out that actually fill some small plot holes, although nothing of big importance or actually annoying.<br /><br />When talking about John Carpenter's films, most people will almost instantly name ""Halloween"" as his favorite film, but personally, I would go with ""The Thing"", as I consider it Carpenter's greatest achievement so far, and one of the most interesting and actually scary horror films ever made. I would go as far as to call it one of the finest films ever made. 10/10",positive
"For me, reviewing movies is an extension of my love of film--and of horror cinema, in particular. The reviews I've written thus far have been for films that I love, respect, and admire, and I have eagerly rewarded them with glowing accolades and perfect-ten ratings. A life-long horror movie fan, it is a tremendous pleasure for me to be able to share with others my thoughts and ideas about great horror films, and to, hopefully, have a hand in exposing people to movies they may not otherwise seek out. I only recently began reviewing films for the IMDB, and it was my initial intention to concentrate only on my own personal favorites, examining those which I believe are of substance and of lasting value to the horror genre. However, the existence of films like ""Graduation Day"" is, without pun, a thorn in my side. Completely devoid of any merit whatsoever, this 1981 hodgepodge of unformed ideas is amateurishly directed, poorly acted, and, in every sense, an unmitigated embarrassment to horror cinema. During the brief couple of years before and after this movie's release, we saw the appearance of domestic (and Canadian) films such as ""Halloween II,"" ""Prom Night,"" ""Terror Train,"" ""Madman,"" ""My Bloody Valentine,"" ""The Prowler,"" ""Just Before Dawn,"" ""Final Exam,"" and ""Hell Night,"" among others. These films, though of varying degrees of quality, clearly strove to achieve something in terms of story line, plotting, acting, direction, and overall tone. Not every movie released during this bountiful season of the Slasher Era would be of the artistic merit or commercial success of the original ""Halloween"" or ""Friday the 13th,"" but these films were all well-made and clearly contributed to the ongoing development of horror cinema. ""Graduation Day,"" an abysmal farce about a masked killer stalking members of a high school track team, was directed by Herb Freed, whom one can only hope will never again attempt to besmirch the horror genre with such a travesty. The task of creating worthwhile horror films is best left to those who have a genuine love and respect for the genre. This movie fails miserably on every possible level, not the least of which are dreadfully wooden performances, dime-store special effects, an irritating musical score, and, most of all, a story lacking even the slightest hint of tension or suspense. A pointless exercise in how to waste film, ""Graduation Day"" is an utter disgrace to horror cinema.",negative
"It has been recorded that John Ford made the ""big, blockbuster"" movies so that he could afford to make the ""small"" movies that he loved so well. Wagon Master, with a young Ben Johnson, is clearly one of his best, if not the best of his small movies. The location shooting, the wagons, the intricate work with horses, and the inclusion of the plains Indian are all trade marks of Ford. As in many of his other films, Eisenstein, the great Russian director's influence is seen in this film. The supporting cast including Ward Bond, Russell Simpson, and Jane Darwell are excellent as well as the many, minor character actors Ford used, including his brother (the one who plays the drums). While Ben Johnson went on to win a well-deserved supporting Oscar for The Last Picture Show, his co-star, Harry Carey,Jr. did not reach those heights. Although his father, Carey, Sr. became a western leading man in Ford's early films, Carey, Jr. spent most of his career in supporting roles. For fans of John Ford, and for fans of western films, this one is a must.",positive
